Age,Gender,Grade,Bullied,BulliedElec,DaysUnsafe,TalkTeacher,FeltThreat,Fights,Injured,FightsSchool,PropStolen,Sad,Slapped,ForcedSex
16 years old,Male,10th grade,No,No,0 days,No,0 times,2 or 3 times,1 time,0 times,0 times,No,No,No
15 years old,Female,10th grade,No,No,0 days,Yes,0 times,1 time,0 times,0 times,0 times,No,No,No
16 years old,Female,10th grade,No,No,0 days,No,0 times,0 times,0 times,0 times,0 times,No,No,No
16 years old,Female,10th grade,No,No,0 days,No,0 times,0 times,0 times,0 times,0 times,No,No,No
16 years old,Male,10th grade,No,No,0 days,No,0 times,0 times,0 times,0 times,0 times,No,No,No
16 years old,Male,10th grade,No,No,0 days,No,0 times,1 time,0 times,0 times,0 times,No,No,No
16 years old,Female,10th grade,Yes,Yes,0 days,Yes,0 times,1 time,0 times,0 times,4 or 5 times,Yes,Yes,No
15 years old,Male,10th grade,No,No,4 or 5 days,No,0 times,12 or more times,0 times,12 or more times,0 times,No,No,No
16 years old,Female,10th grade,No,No,0 days,Yes,0 times,0 times,0 times,0 times,0 times,No,No,No
15 years old,Male,10th grade,No,No,0 days,No,0 times,0 times,0 times,0 times,0 times,No,No,No
17 years old,Female,10th grade,No,No,0 days,Yes,0 times,0 times,0 times,0 times,0 times,Yes,No,Yes
15 years old,Female,10th grade,No,No,0 days,No,0 times,1 time,0 times,0 times,0 times,Yes,No,No
16 years old,Male,10th grade,No,No,0 days,No,0 times,0 times,0 times,0 times,0 times,No,No,No
15 years old,Female,10th grade,Yes,Yes,0 days,Yes,0 times,1 time,1 time,1 time,0 times,No,No,Yes
16 years old,Male,10th grade,Yes,Yes,0 days,Yes,0 times,0 times,0 times,0 times,0 times,Yes,Yes,Yes
15 years old,Male,10th grade,No,No,0 days,No,0 times,0 times,0 times,0 times,2 or 3 times,No,No,No
16 years old,Female,10th grade,No,No,0 days,No,0 times,0 times,0 times,0 times,1 time,No,No,No
15 years old,Male,10th grade,No,No,0 days,No,0 times,0 times,0 times,0 times,0 times,No,No,No
16 years old,Male,10th grade,No,No,0 days,No,0 times,0 times,0 times,0 times,0 times,Yes,Yes,No
17 years old,Male,10th grade,No,No,0 days,No,0 times,1 time,0 times,0 times,0 times,No,No,No
15 years old,Female,10th grade,No,No,0 days,Yes,0 times,1 time,0 times,0 times,0 times,No,No,No
16 years old,Male,10th grade,No,Yes,0 days,Yes,0 times,,,,0 times,No,Yes,No
17 years old,Male,10th grade,No,No,1 day,No,0 times,0 times,0 times,0 times,1 time,No,No,No
16 years old,Male,10th grade,No,No,0 days,No,4 or 5 times,4 or 5 times,2 or 3 times,2 or 3 times,0 times,No,No,No
